la_name,UTLA18CD,region,inspection_type,year,judgement,exp_all_total,exp_cla_total,exp_sg_total,exp_ehfs_total,exp_all_perchild,exp_sg_perchild,exp_ehfs_perchild,exp_cla_percla,cla_exp_aspercent,sg_exp_aspercent,ehfs_exp_aspercent,imd_2015,income_dep_2019,imd_2019,imd_quintile,imd_decile,good_or_outstanding
Barking and Dagenham,E09000002,London,slac,2013,Good,583.0062251359266,217.0465205742014,133.8993460258755,232.06035853584967,1060.0113184289576,243.45335641068274,421.9279246106358,52300.36640342202,37.22885129118433,22.96705253784506,39.80409617097062,34.635,1.94,32.768,5,9,1
Barking and Dagenham,E09000002,London,sif,2015,Requires improvement to be good,591.7694887871238,241.81000849849676,165.95170964109556,183.99738763372673,1001.302011484135,280.7981550610754,311.3322971805867,53145.05681285643,40.862196020633746,28.04330280380391,31.09274660490578,34.635,1.94,32.768,5,9,0
Barnet,E09000003,London,slac,2012,Good,633.135415785192,195.46023487415525,157.73874572154935,279.9364351894874,760.9800670495096,189.58983860763144,336.4620615258262,65153.41162471842,30.871789825838825,24.9139033749877,44.21430679917348,17.813,1.11,16.148,2,3,1
Barnet,E09000003,London,sif,2018,Inadequate,688.0016004078591,272.835347579651,271.82895845140126,143.33729437680674,751.8978824592458,297.07433548053734,156.64935671002465,82928.67707588176,39.65620827304901,39.50993112374396,20.833860603207018,17.813,1.11,16.148,2,3,0
Barnsley,E08000016,"North East, Yorkshire and The Humber",slac,2013,Inadequate,454.99404793733635,130.57678160836,100.11301910526454,224.3146302375166,930.4581757409741,204.7301004197639,458.7211252300953,55564.58791845106,28.698569179160682,22.003149175053057,49.30056365669429,29.568,1.6900000000000002,29.933,5,9,0
Barnsley,E08000016,"North East, Yorkshire and The Humber",sif,2015,Requires improvement to be good,528.6926799233526,159.37926190269764,116.87120338610845,252.44221463454645,1065.9126611357913,235.62742618167024,508.9560778922307,66408.02579279068,30.145918026669804,22.105697283921522,47.74838468940867,29.568,1.6900000000000002,29.933,5,9,0
Barnsley,E08000016,"North East, Yorkshire and The Humber",ilacs,2019,Good,394.40058000000005,178.08473,98.39947,117.91638,777.4963628836715,193.97849271591065,232.45289490803714,59164.36212624585,45.153262705648146,24.949118989632314,29.89761830471953,29.568,1.6900000000000002,29.933,5,9,1
Bath and North East Somerset,E06000022,South West,slac,2012,Requires improvement to be good,238.9027646331707,85.35875648873467,52.88068930752046,100.67370185072028,708.9102808105955,156.91599201044647,298.7350203285468,51732.57969014222,35.72949715328784,22.13481681081316,42.14003216132817,12.094,0.79,11.745,1,1,0
Bath and North East Somerset,E06000022,South West,cpi,2014,Requires improvement to be good,278.8358357261854,87.33152911163452,70.79138812069007,120.71291849386078,817.7003980240041,207.59937865305005,353.9968284277443,58221.01940775635,31.320052131819025,25.388195866691486,43.29175200148948,12.094,0.79,11.745,1,1,0
Bath and North East Somerset,E06000022,South West,sif,2018,Good,310.9050597333351,133.95804696145777,73.38988686147312,103.55712591040421,874.3603682246895,206.39486715077652,291.2343942584066,79265.11654524128,43.086480186702104,23.605240430766873,33.30827938253102,12.094,0.79,11.745,1,1,1
Bedford UA,E06000055,East of England,slac,2012,Requires improvement to be good,317.2945188589275,119.21776450597878,59.65041430820834,138.42634004474039,886.2975387120881,166.62126901734172,386.66575431491725,55450.12302603664,37.57321901894695,18.799698943028243,43.6270820380248,19.238,1.1400000000000001,18.932,2,4,0
Bedford UA,E06000055,East of England,cpi,2013,Requires improvement to be good,321.2504471185319,131.7396791544904,84.18547592879952,105.32529203524201,894.8480421129022,234.49993294930232,293.38521458284686,53771.29761407772,41.00840336134454,26.205559146735624,32.78603749191985,19.238,1.1400000000000001,18.932,2,4,0
Bedford UA,E06000055,East of England,sif,2018,Requires improvement to be good,322.4756819403721,153.94401787598423,92.60508991959941,75.92657414478843,822.1386955444934,236.0929275943285,193.57172686311552,64411.72296066286,47.73817887590342,28.716921959009206,23.544899165087358,19.238,1.1400000000000001,18.932,2,4,0
Bexley,E09000004,London,slac,2013,Inadequate,357.7675066697885,137.221910443391,82.48266166482281,138.06293456157462,654.0539427235622,150.79097196494115,252.40024599922236,53812.51389936903,38.35505122326378,23.054821951998143,38.59012682473807,16.17,1.06,16.273,2,3,0
Bexley,E09000004,London,sif,2015,Requires improvement to be good,394.12882101397395,157.49993640404043,130.38988735987473,106.23899725005877,710.1420198449981,234.93673398175628,191.4216166667726,57272.70414692379,39.96153744829948,33.083063305145025,26.95539924655549,16.17,1.06,16.273,2,3,0
Bexley,E09000004,London,ilacs,2019,Outstanding,407.72,187.52,135.14,85.06,717.1477318699101,237.70073698837348,149.61391659191247,82607.92951541851,45.99234768959089,33.145295791229266,20.86235651917983,16.17,1.06,16.273,2,3,1
Birmingham,E08000025,West Midlands,slac,2011,Inadequate,2672.3074119663193,955.174971952884,621.9113778622724,1095.2106791373583,1049.9813020967033,244.35636236779396,430.3212758388111,50538.3583043854,35.743454053066955,23.272448935980076,40.98370846980841,37.768,2.22,38.067,5,10,0
Birmingham,E08000025,West Midlands,cpi,2013,Inadequate,2434.629842962108,998.627884725704,582.8297139012461,853.1722443351574,882.4319836760087,211.24672486453284,309.2324191138664,52837.45421829122,41.01764741003573,23.939150979606108,35.043201610358146,37.768,2.22,38.067,5,10,0
Birmingham,E08000025,West Midlands,sif,2015,Inadequate,2758.2476172281195,1068.3602054383111,650.5061978805153,1039.381213909293,977.4087941984832,230.51247267204653,368.313683171259,53686.44248433724,38.73329568981743,23.584039149256537,37.682665160926035,37.768,2.22,38.067,5,10,0
Birmingham,E08000025,West Midlands,ilacs,2019,Requires improvement to be good,2207.5545502,1075.1115239,582.7132066,549.7298197,765.4807239552271,202.058756466982,190.62159996255045,55247.25199897225,48.70147031259532,26.396321963921903,24.902207723482782,37.768,2.22,38.067,5,10,0
Blackburn with Darwen,E06000008,North West,slac,2012,Good,388.5116105456118,133.45287643227186,92.93835656619197,162.12037754714794,1006.5067630715332,240.77294447199992,420.00097810141955,37070.24345340885,34.34977818162382,23.921641990485863,41.728579827890314,34.189,2.12,36.013,5,10,1
Blackburn with Darwen,E06000008,North West,sif,2018,Good,327.805468791664,166.28621426736046,77.28778839301138,84.23146613129214,847.984760306449,199.9321944098388,217.89447223346906,44342.99047129612,50.727101924295006,23.57733343433982,25.695564641365166,34.189,2.12,36.013,5,10,1
Blackpool,E06000009,North West,cpi,2013,Inadequate,425.15326626252516,175.89863686603263,132.70529943833085,116.55971297196638,1466.0457457328455,457.6044808218305,401.93004473091855,36645.549347090135,41.37299435856106,31.213519915988957,27.41592790680636,41.997,2.4699999999999998,45.039,5,10,0
Blackpool,E06000009,North West,sif,2015,Requires improvement to be good,431.21694632449095,169.66882858319102,131.3866566851294,130.17184406997526,1497.2810636267047,456.2036690455882,451.9855696874141,37289.85243586615,39.34651224386603,30.468806433748284,30.187089162312486,41.997,2.4699999999999998,45.039,5,10,0
