id,slac_sg,slac_cla,sif_oe,sif_cin,sif_cla,sif_adp,sif_cl,sif_mng,ilacs_oe,ilacs_ldr,ilacs_cin,ilacs_cla
1,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
2,Good,Good,Inadequate,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Inadequate,Good,Good,Good,Good
3,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Good,Good,Good,Good
4,Requires improvement to be good,Good,Good,Requires improvement to be good,Good,Outstanding,Requires improvement to be good,Good,,,,
5,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Good,Requires improvement to be good,,,,
6,Inadequate,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Outstanding,Outstanding,Outstanding,Good
7,Inadequate,Requires improvement to be good,Inadequate,Inadequate,Inadequate,Inadequate,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
8,Good,Good,Good,Requires improvement to be good,Good,Good,Good,Good,,,,
9,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,Inadequate,Requires improvement to be good
10,Good,Good,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Requires improvement to be good,Good,Good,Good,Good
11,,,,,,,,,,,,
12,Good,Good,Good,Good,Outstanding,Outstanding,Outstanding,Good,,,,
13,Good,Good,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Good,Inadequate,Requires improvement to be good,Inadequate,Requires improvement to be good
14,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Good,Good,Requires improvement to be good,Outstanding
15,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Good,Good,Good,Requires improvement to be good,Good
16,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Inadequate,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good
17,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,Inadequate,Inadequate,Inadequate,Inadequate,Good,Outstanding,Good,Good
18,Good,Good,Inadequate,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Inadequate,,,,
19,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Good,Requires improvement to be good,Good,,,,
20,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Inadequate,Requires improvement to be good,Requires improvement to be good,Good,Good,Requires improvement to be good,Outstanding
21,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Good,Good,Good,Good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good
22,Good,Good,Good,Good,Good,Outstanding,Good,Outstanding,,,,
23,Good,Requires improvement to be good,Good,Good,Requires improvement to be good,Good,Good,Good,,,,
24,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,,,,
25,Inadequate,Requires improvement to be good,Good,Good,Good,Outstanding,Good,Outstanding,Good,Good,Good,Good
26,Inadequate,Inadequate,Good,Requires improvement to be good,Good,Good,Good,Good,,,,
27,Good,Requires improvement to be good,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Inadequate,,,,
28,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Inadequate,,,,
29,Inadequate,Requires improvement to be good,Inadequate,Requires improvement to be good,Inadequate,Requires improvement to be good,Requires improvement to be good,Inadequate,,,,
30,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,Requires improvement to be good,Good,Good,Inadequate,,,,
31,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Good,Good,Good,Good,,,,
32,Good,Good,Good,Good,Good,Good,Good,Good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good
33,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Inadequate,Requires improvement to be good,,,,
